Estado;Bacia;Nome Poço;Operador;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;Fração de Destilados;;;;;;% em Volumes;;;;;;;;;;;;;;;;Densidade GLP Gás;Densidade GLP Líquido;"PCS GP
(kJ/m³)";Data de atualização
Rio Grande do Norte;Potiguar;7-ARG-546-RN;7ARG546RN;ALTO DO RODRIGUES;Petrobras;4,8E+14;2020/10;6,6286;0;6,6286;744;2020/02;RGN Mistura;24,3;< 290ºC;22.8%;290ºC a 380ºC;14.3%;> 380ºC;62.9%;79,243;0,034;0;0,002;0,002;0,004;0,005;0,01;0,005;0;0;0;0;0,264;19,24;1,211;2,44864;580,83019;29910,4577;23/12/2020 15:39
Rio Grande do Norte;Potiguar;7-ARG-545-RN;7ARG545RN;ALTO DO RODRIGUES;Petrobras;4,8E+14;2020/10;1,6855;0;1,6855;744;2020/02;RGN Mistura;24,3;< 290ºC;22.8%;290ºC a 380ºC;14.3%;> 380ºC;62.9%;79,243;0,034;0;0,002;0,002;0,004;0,005;0,01;0,005;0;0;0;0;0,264;19,24;1,211;2,44864;580,83019;29910,4577;23/12/2020 15:39
Rio Grande do Norte;Potiguar;7-ARG-542-RN;7ARG542RN;ALTO DO RODRIGUES;Petrobras;4,8E+14;2020/10;0;0;0;0;2020/02;RGN Mistura;24,3;< 290ºC;22.8%;290ºC a 380ºC;14.3%;> 380ºC;62.9%;79,243;0,034;0;0,002;0,002;0,004;0,005;0,01;0,005;0;0;0;0;0,264;19,24;1,211;2,44864;580,83019;29910,4577;23/12/2020 15:39
Rio Grande do Norte;Potiguar;7-ARG-189-RN;7ARG 0189  RN;ALTO DO RODRIGUES;Petrobras;4,8E+14;2020/10;0;0;0;0;2020/02;RGN Mistura;24,3;< 290ºC;22.8%;290ºC a 380ºC;14.3%;> 380ºC;62.9%;79,243;0,034;0;0,002;0,002;0,004;0,005;0,01;0,005;0;0;0;0;0,264;19,24;1,211;2,44864;580,83019;29910,4577;23/12/2020 15:39
Rio Grande do Norte;Potiguar;7-ARG-543-RN;7ARG543RN;ALTO DO RODRIGUES;Petrobras;4,8E+14;2020/10;9,8825;0;9,8825;730;2020/02;RGN Mistura;24,3;< 290ºC;22.8%;290ºC a 380ºC;14.3%;> 380ºC;62.9%;79,243;0,034;0;0,002;0,002;0,004;0,005;0,01;0,005;0;0;0;0;0,264;19,24;1,211;2,44864;580,83019;29910,4577;23/12/2020 15:39
Rio Grande do Norte;Potiguar;7-ARG-544-RN;7ARG544RN;ALTO DO RODRIGUES;Petrobras;4,8E+14;2020/10;6,3314;0;6,3314;730;2020/02;RGN Mistura;24,3;< 290ºC;22.8%;290ºC a 380ºC;14.3%;> 380ºC;62.9%;79,243;0,034;0;0,002;0,002;0,004;0,005;0,01;0,005;0;0;0;0;0,264;19,24;1,211;2,44864;580,83019;29910,4577;23/12/2020 15:39
Rio Grande do Norte;Potiguar;7-ARG-190-RN;7ARG 0190  RN;ALTO DO RODRIGUES;Petrobras;4,8E+14;2020/10;15,3749;0;15,3749;730;2020/02;RGN Mistura;24,3;< 290ºC;22.8%;290ºC a 380ºC;14.3%;> 380ºC;62.9%;79,243;0,034;0;0,002;0,002;0,004;0,005;0,01;0,005;0;0;0;0;0,264;19,24;1,211;2,44864;580,83019;29910,4577;23/12/2020 15:39
Rio Grande do Norte;Potiguar;7-ARG-191-RN;7ARG 0191  RN;ALTO DO RODRIGUES;Petrobras;4,8E+14;2020/10;5,8666;0;5,8666;639;2020/02;RGN Mistura;24,3;< 290ºC;22.8%;290ºC a 380ºC;14.3%;> 380ºC;62.9%;79,243;0,034;0;0,002;0,002;0,004;0,005;0,01;0,005;0;0;0;0;0,264;19,24;1,211;2,44864;580,83019;29910,4577;23/12/2020 15:39
Rio Grande do Norte;Potiguar;7-ARG-192-RN;7ARG 0192  RN;ALTO DO RODRIGUES;Petrobras;4,8E+14;2020/10;1,7179;0;1,7179;509;2020/02;RGN Mistura;24,3;< 290ºC;22.8%;290ºC a 380ºC;14.3%;> 380ºC;62.9%;79,243;0,034;0;0,002;0,002;0,004;0,005;0,01;0,005;0;0;0;0;0,264;19,24;1,211;2,44864;580,83019;29910,4577;23/12/2020 15:39
Rio Grande do Norte;Potiguar;7-ARG-193-RN;7ARG 0193  RN;ALTO DO RODRIGUES;Petrobras;4,8E+14;2020/10;7,0961;0;7,0961;730;2020/02;RGN Mistura;24,3;< 290ºC;22.8%;290ºC a 380ºC;14.3%;> 380ºC;62.9%;79,243;0,034;0;0,002;0,002;0,004;0,005;0,01;0,005;0;0;0;0;0,264;19,24;1,211;2,44864;580,83019;29910,4577;23/12/2020 15:39
Rio Grande do Norte;Potiguar;7-ARG-195-RN;7ARG 0195  RN;ALTO DO RODRIGUES;Petrobras;4,8E+14;2020/10;0,5683;0;0,5683;700;2020/02;RGN Mistura;24,3;< 290ºC;22.8%;290ºC a 380ºC;14.3%;> 380ºC;62.9%;79,243;0,034;0;0,002;0,002;0,004;0,005;0,01;0,005;0;0;0;0;0,264;19,24;1,211;2,44864;580,83019;29910,4577;23/12/2020 15:39
Rio Grande do Norte;Potiguar;7-ARG-196-RN;7ARG 0196  RN;ALTO DO RODRIGUES;Petrobras;4,8E+14;2020/10;18,4381;0;18,4381;744;2020/02;RGN Mistura;24,3;< 290ºC;22.8%;290ºC a 380ºC;14.3%;> 380ºC;62.9%;79,243;0,034;0;0,002;0,002;0,004;0,005;0,01;0,005;0;0;0;0;0,264;19,24;1,211;2,44864;580,83019;29910,4577;23/12/2020 15:39
Rio Grande do Norte;Potiguar;7-ARG-198-RN;7ARG 0198  RN;ALTO DO RODRIGUES;Petrobras;4,8E+14;2020/10;0;0;0;0;2020/02;RGN Mistura;24,3;< 290ºC;22.8%;290ºC a 380ºC;14.3%;> 380ºC;62.9%;79,243;0,034;0;0,002;0,002;0,004;0,005;0,01;0,005;0;0;0;0;0,264;19,24;1,211;2,44864;580,83019;29910,4577;23/12/2020 15:39
Rio Grande do Norte;Potiguar;7-ET-1850-RN;7ET1850RN;ESTREITO;Petrobras;4,8E+14;2020/10;0,2299;0;0,2299;345;2020/02;RGN Mistura;24,3;< 290ºC;22.8%;290ºC a 380ºC;14.3%;> 380ºC;62.9%;;;;;;;;;;;;;;;;;;;;23/12/2020 15:39
Rio Grande do Norte;Potiguar;7-ET-1846-RN;7ET1846RN;ESTREITO;Petrobras;4,8E+14;2020/10;0,4772;0;0,4772;719;2020/02;RGN Mistura;24,3;< 290ºC;22.8%;290ºC a 380ºC;14.3%;> 380ºC;62.9%;;;;;;;;;;;;;;;;;;;;23/12/2020 15:39
