Estado;Bacia;Nome Poço;Operador;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Tempo de Produção (hs por mês)
Rio Grande do Norte;Potiguar;7-ET-1341-RN;7ET1341RN;ESTREITO;Petrobras;4,8E+14;2020/11;3,5678;0;3,5678;719
Rio Grande do Norte;Potiguar;7-ET-1455D-RN;7ET1455DRN;ESTREITO;Petrobras;4,8E+14;2020/11;0,5101;0;0,5101;720
Rio Grande do Norte;Potiguar;7-ET-1340-RN;7ET1340RN;ESTREITO;Petrobras;4,8E+14;2020/11;2,5522;0;2,5522;720
Rio Grande do Norte;Potiguar;7-ET-1448D-RN;7ET1448DRN;ESTREITO;Petrobras;4,8E+14;2020/11;10,9579;0;10,9579;720
Rio Grande do Norte;Potiguar;7-ET-1333-RN;7ET1333RN;ESTREITO;Petrobras;4,8E+14;2020/11;1,9159;0;1,9159;718
Rio Grande do Norte;Potiguar;7-ET-1427D-RN;7ET1427DRN;ESTREITO;Petrobras;4,8E+14;2020/11;6,3559;0;6,3559;718
Rio Grande do Norte;Potiguar;7-ET-1390D-RN;7ET1390DRN;ESTREITO;Petrobras;4,8E+14;2020/11;0;0;0;0
Rio Grande do Norte;Potiguar;7-ET-1328-RN;7ET1328RN;ESTREITO;Petrobras;4,8E+14;2020/11;0,4761;0;0,4761;671
Rio Grande do Norte;Potiguar;7-ET-1433D-RN;7ET1433DRN;ESTREITO;Petrobras;4,8E+14;2020/11;0;0;0;0
Rio Grande do Norte;Potiguar;7-ET-1365D-RN;7ET1365DRN;ESTREITO;Petrobras;4,8E+14;2020/11;0;0;0;0
Rio Grande do Norte;Potiguar;7-ET-1372D-RN;7ET1372DRN;ESTREITO;Petrobras;4,8E+14;2020/11;8,7378;0;8,7378;717
Rio Grande do Norte;Potiguar;7-ET-1444D-RN;7ET1444DRN;ESTREITO;Petrobras;4,8E+14;2020/11;2,0417;0;2,0417;720
Rio Grande do Norte;Potiguar;7-ET-1335-RN;7ET1335RN;ESTREITO;Petrobras;4,8E+14;2020/11;18,7872;0;18,7872;720
Rio Grande do Norte;Potiguar;7-ET-1339-RN;7ET1339RN;ESTREITO;Petrobras;4,8E+14;2020/11;1,0213;0;1,0213;720
Rio Grande do Norte;Potiguar;7-ET-1262-RN;7ET1262RN;ESTREITO;Petrobras;4,8E+14;2020/11;17,0695;0;17,0695;688
Rio Grande do Norte;Potiguar;7-ET-1416D-RN;7ET1416DRN;ESTREITO;Petrobras;4,8E+14;2020/11;0,5101;0;0,5101;720
Rio Grande do Norte;Potiguar;7-ET-1407D-RN;7ET1407DRN;ESTREITO;Petrobras;4,8E+14;2020/11;0;0;0;0
Rio Grande do Norte;Potiguar;7-ET-1413D-RN;7ET1413DRN;ESTREITO;Petrobras;4,8E+14;2020/11;1,5909;0;1,5909;720
Rio Grande do Norte;Potiguar;7-ET-1417D-RN;7ET1417DRN;ESTREITO;Petrobras;4,8E+14;2020/11;0;0;0;0
Rio Grande do Norte;Potiguar;7-ET-1355-RN;7ET1355RN;ESTREITO;Petrobras;4,8E+14;2020/11;3,5158;0;3,5158;720
Rio Grande do Norte;Potiguar;7-ET-1441D-RN;7ET1441DRN;ESTREITO;Petrobras;4,8E+14;2020/11;0,5101;0;0,5101;720
Rio Grande do Norte;Potiguar;7-ET-1451-RN;7ET1451RN;ESTREITO;Petrobras;4,8E+14;2020/11;4,9123;0;4,9123;720
Rio Grande do Norte;Potiguar;7-ET-1453-RN;7ET1453RN;ESTREITO;Petrobras;4,8E+14;2020/11;0,4763;0;0,4763;675
Rio Grande do Norte;Potiguar;7-ET-1438-RN;7ET1438RN;ESTREITO;Petrobras;4,8E+14;2020/11;1,415;0;1,415;720
Rio Grande do Norte;Potiguar;7-ET-1440-RN;7ET1440RN;ESTREITO;Petrobras;4,8E+14;2020/11;0,7248;0;0,7248;720
Rio Grande do Norte;Potiguar;7-ET-1446-RN;7ET1446RN;ESTREITO;Petrobras;4,8E+14;2020/11;0;0;0;0
Rio Grande do Norte;Potiguar;7-ET-404-RN;7ET  0404  RN;ESTREITO;Petrobras;4,8E+14;2020/11;0;0;0;0
Rio Grande do Norte;Potiguar;7-ET-405-RN;7ET  0405  RN;ESTREITO;Petrobras;4,8E+14;2020/11;0;0;0;0
Rio Grande do Norte;Potiguar;7-ET-1456D-RN;7ET1456DRN;ESTREITO;Petrobras;4,8E+14;2020/11;1,5892;0;1,5892;720
Rio Grande do Norte;Potiguar;7-ET-1454-RN;7ET1454RN;ESTREITO;Petrobras;4,8E+14;2020/11;4,0831;0;4,0831;720
Rio Grande do Norte;Potiguar;7-ET-1449-RN;7ET1449RN;ESTREITO;Petrobras;4,8E+14;2020/11;2,3882;0;2,3882;720
Rio Grande do Norte;Potiguar;7-ET-1457-RN;7ET1457RN;ESTREITO;Petrobras;4,8E+14;2020/11;0;0;0;0
Rio Grande do Norte;Potiguar;7-ET-1443D-RN;7ET1443DRN;ESTREITO;Petrobras;4,8E+14;2020/11;0,5097;0;0,5097;719
Rio Grande do Norte;Potiguar;7-ET-1442D-RN;7ET1442DRN;ESTREITO;Petrobras;4,8E+14;2020/11;1,0208;0;1,0208;720
Rio Grande do Norte;Potiguar;7-ET-1445D-RN;7ET1445DRN;ESTREITO;Petrobras;4,8E+14;2020/11;0;0;0;0
Rio Grande do Norte;Potiguar;7-ET-1450D-RN;7ET1450DRN;ESTREITO;Petrobras;4,8E+14;2020/11;2,5522;0;2,5522;720
Rio Grande do Norte;Potiguar;7-ET-1423-RN;7ET1423RN;ESTREITO;Petrobras;4,8E+14;2020/11;5,1109;0;5,1109;720
